Id,ProductId,UserId,ProfileName,Score,Summary,Text
1,B001,U001,John,5,Excellent,"This product is amazing. I really loved the taste and quality."
2,B002,U002,Alice,4,Very Good,"Good quality and fresh. I will buy it again."
3,B003,U003,Ram,3,Average,"The product was okay. Nothing special."
4,B004,U004,Priya,2,Not Good,"The taste was disappointing and the quality was poor."
5,B005,U005,David,1,Terrible,"Worst product I have ever purchased. Waste of money."
6,B006,U006,Sneha,5,Fantastic,"Absolutely delicious and worth every penny."
7,B007,U007,Arjun,4,Good,"Nice packaging and good taste."
8,B008,U008,Ravi,2,Poor,"Not fresh and arrived damaged."
9,B009,U009,Anita,3,Okay,"Average quality but acceptable."
10,B010,U010,Meena,5,Perfect,"Excellent flavor and very fresh."
11,B011,U011,Kiran,1,Bad,"Very bad experience. I do not recommend it."
12,B012,U012,Neha,4,Great,"Good value for money and nice quality."
13,B013,U013,Rohan,5,Excellent,"Best product I have bought recently."
14,B014,U014,Divya,2,Disappointed,"Packaging was damaged and the product was stale."
15,B015,U015,Suresh,3,Fine,"It is fine but could be better."
16,B016,U016,Akash,5,Superb,"Fantastic quality and fast delivery."
17,B017,U017,Pooja,4,Nice,"Satisfied with the purchase."
18,B018,U018,Raj,1,Awful,"Completely disappointed with this product."
19,B019,U019,Lakshmi,5,Loved It,"Amazing taste and excellent quality."
20,B020,U020,Varun,3,Average,"Neither good nor bad."